Role,FeatureName
Admin,MANAGE_COURSE
Admin,VIEW_COURSE
Admin,MANAGE_COURSE_CONTENT
Admin,VIEW_COURSE_CONTENT
Admin,UPDATE_COURSE_PROGRESS
Admin,VIEW_COURSE_PROGRESS
Admin,VIEW_COURSE_ADMINISTRATION
Admin,MANAGE_USER
Admin,VIEW_USER
Admin,MANAGE_ENROLLMENT
Admin,MANAGE_ASSESSMENT
Admin,VIEW_ASSESSMENT
Admin,MANAGE_QUESTION_BANK
Admin,VIEW_ASSESSMENT_HISTORY
Admin,VIEW_LEADERBOARD
Admin,VIEW_REVIEW
Admin,CREATE_REVIEW
Admin,VIEW_RECOMMENDATION
Admin,VIEW_REFERENCE_DATA
Admin,VIEW_FORUM
Admin,PARTICIPATE_FORUM
Admin,VIEW_OWN_PROFILE
Admin,MANAGE_OWN_ACCOUNT
Admin,REQUEST_ENROLLMENT
Admin,TAKE_ASSESSMENT
Admin,VIEW_CLAIMS

Student,VIEW_CLAIMS
Student,VIEW_COURSE
Student,VIEW_COURSE_CONTENT
Student,VIEW_COURSE_PROGRESS
Student,UPDATE_COURSE_PROGRESS
Student,REQUEST_ENROLLMENT
Admin,MANAGE_ENROLLMENT
Student,VIEW_ASSESSMENT
Student,TAKE_ASSESSMENT
Student,VIEW_ASSESSMENT_RESULT
Student,VIEW_ASSESSMENT_HISTORY
Student,VIEW_LEADERBOARD
Student,CREATE_REVIEW
Student,VIEW_REVIEW
Student,VIEW_RECOMMENDATION
Student,VIEW_REFERENCE_DATA
Student,VIEW_FORUM
Student,PARTICIPATE_FORUM
Student,VIEW_PROFILE
Student,MANAGE_OWN_ACCOUNT
Student,MANAGE_USER

